"id","name","inves","ret","color"
1,"二化螟","鳞翅目","L1","#000000"
2,"稻纵卷叶螟","鳞翅目","L2","#00005f"
3,"黄纹银草螟","鳞翅目","L3","#000087"
4,"黄杨绢野螟","鳞翅目","L4","#0000af"
5,"褚翅叉环野螟","鳞翅目","L5","#0000d7"
6,"白蜡绢须野螟","鳞翅目","L6","#0000ff"
7,"橄绿歧角螟","鳞翅目","L7","#005f00"
8,"黑纹歧角螟","鳞翅目","L8","#005f5f"
9,"大螟","鳞翅目","L9","#005f87"
10,"银纹夜蛾","鳞翅目","L10","#005faf"
11,"劳氏粘虫","鳞翅目","L11","#005fd7"
12,"陌夜蛾","鳞翅目","L12","#005fff"
13,"温杉冬夜蛾","鳞翅目","L13","#008700"
14,"间纹德夜蛾","鳞翅目","L14","#00875f"
15,"朽木夜蛾","鳞翅目","L15","#008787"
16,"灰歹夜蛾","鳞翅目","L16","#0087af"
17,"小地老虎","鳞翅目","L17","#0087d7"
18,"白斑烦夜蛾","鳞翅目","L18","#0087ff"
19,"茶色狭翅夜蛾","鳞翅目","L19","#00af00"
20,"鸟嘴壶夜蛾","鳞翅目","L20","#00af5f"
21,"苎麻夜蛾","鳞翅目","L21","#00af87"
22,"绿尾大蚕蛾","鳞翅目","L22","#00afaf"
23,"丝棉木金星尺蛾","鳞翅目","L23","#00afd7"
24,"雪尾尺蛾","鳞翅目","L24","#00afff"
25,"斑雅尺蛾","鳞翅目","L25","#00d700"
26,"红天蛾","鳞翅目","L26","#00d75f"
27,"构月天蛾","鳞翅目","L27","#00d787"
28,"雀纹天蛾","鳞翅目","L28","#00d7af"
29,"甘薯天蛾","鳞翅目","L29","#00d7d7"
30,"红六点天蛾","鳞翅目","L30","#00d7ff"
31,"丁香天蛾","鳞翅目","L31","#00ff00"
32,"霜天蛾","鳞翅目","L32","#00ff5f"
33,"葡萄缺角天蛾","鳞翅目","L33","#00ff87"
34,"人纹污灯蛾","鳞翅目","L34","#00ffaf"
35,"八点灰灯蛾","鳞翅目","L35","#00ffd7"
36,"之美苔蛾","鳞翅目","L36","#00ffff"
37,"优美苔蛾","鳞翅目","L37","#5f0000"
38,"大丽灯蛾","鳞翅目","L38","#5f005f"
39,"重阳木锦斑蛾","鳞翅目","L39","#5f0087"
40,"玉米螟","鳞翅目","L40","#5f00af"
41,"桃蛀螟","鳞翅目","L41","#5f00d7"
42,"瓜绢野螟","鳞翅目","L42","#5f00ff"
43,"甜菜白带野螟","鳞翅目","L43","#5f5f00"
44,"豆荚螟","鳞翅目","L44","#5f5f5f"
45,"黄金镰翅野螟","鳞翅目","L45","#5f5f87"
46,"稻螟蛉","鳞翅目","L46","#5f5faf"
47,"斜纹夜蛾","鳞翅目","L47","#5f5fd7"
48,"南方锞夜蛾","鳞翅目","L48","#5f5fff"
49,"粉纹夜蛾","鳞翅目","L49","#5f8700"
50,"白条夜蛾","鳞翅目","L50","#5f875f"
51,"粘虫","鳞翅目","L51","#5f8787"
52,"钻夜蛾","鳞翅目","L52","#5f87af"
53,"粉纹钻夜蛾","鳞翅目","L53","#5f87d7"
54,"玫瑰巾夜蛾","鳞翅目","L54","#5f87ff"
55,"臭椿皮蛾","鳞翅目","L55","#5faf00"
56,"畸夜蛾","鳞翅目","L56","#5faf5f"
57,"流夜蛾","鳞翅目","L57","#5faf87"
58,"委夜蛾","鳞翅目","L58","#5fafaf"
59,"棉铃虫","鳞翅目","L59","#5fafd7"
60,"烟青虫","鳞翅目","L60","#5fafff"
61,"银杏珠天蚕蛾","鳞翅目","L61","#5fd700"
62,"棕线燕蛾","鳞翅目","L62","#5fd75f"
63,"猫眼尺蛾","鳞翅目","L63","#5fd787"
64,"三角璃尺蛾","鳞翅目","L64","#5fd7af"
65,"小豆长喙天蛾","鳞翅目","L65","#5fd7d7"
66,"九节木长喙天蛾","鳞翅目","L66","#5fd7ff"
67,"大星天蛾","鳞翅目","L67","#5fff00"
68,"枣桃六点天蛾","鳞翅目","L68","#5fff5f"
69,"枣核鹰翅天蛾","鳞翅目","L69","#5fff87"
70,"土色苔蛾","鳞翅目","L70","#5fffaf"
71,"代步土苔蛾","鳞翅目","L71","#5fffd7"
72,"黄土苔蛾","鳞翅目","L72","#5fffff"
73,"缘点苔蛾","鳞翅目","L73","#870000"
74,"曲苔蛾","鳞翅目","L74","#87005f"
75,"戟盗毒蛾","鳞翅目","L75","#870087"
76,"黄毒蛾","鳞翅目","L76","#8700af"
77,"榆掌舟蛾","鳞翅目","L77","#8700d7"
78,"核桃美舟蛾","鳞翅目","L78","#8700ff"
79,"杨二尾舟蛾","鳞翅目","L79","#875f00"
80,"咖啡木蠹蛾","鳞翅目","L80","#875f5f"
81,"三化螟","鳞翅目","L81","#875f87"
82,"稻巢草螟","鳞翅目","L82","#875faf"
83,"台湾稻螟","鳞翅目","L83","#875fd7"
84,"八字地老虎","鳞翅目","L84","#875fff"
85,"黄地老虎","鳞翅目","L85","#878700"
86,"草地贪夜蛾","鳞翅目","L86","#87875f"
87,"二点委夜蛾","鳞翅目","L87","#878787"
88,"地老虎","鳞翅目","L88","#8787af"
89,"豆野螟","鳞翅目","L89","#8787d7"
90,"草地螟","鳞翅目","L90","#8787ff"
91,"豆荚斑螟","鳞翅目","L91","#87af00"
92,"尖锥额野螟","鳞翅目","L92","#87af5f"
93,"甜菜夜蛾","鳞翅目","L93","#ff0000"
94,"黑条灰灯蛾","鳞翅目","L94","#87afaf"
95,"豆毒蛾","鳞翅目","L95","#87afd7"
96,"瘦银锭夜蛾","鳞翅目","L96","#87afff"
